	RQ1. Symptoms				RQ2. Causes		RQ3. Repairs		RQ4. Impacts
OFBIZ-9664	"Perhaps this is no bug, but a new feature: After migrating to OFBiz 16, content of type ""Long Text"" containing HTML is now displayed in the ecommerce shop frontend with certain attributes deleted, e.g. ""class"" and ""id"". Is there a config file to allow those attributes to be displayed?"	2. Unexpected behavior	none	none	people should be carefull with this workaround. Because it removes some security in all other parts	2.1 Flawed repairs	The solution/workaround for this issue is: Set sanitizer.permissive.policy=true in framework/base/config/owasp.properties	2.2 Modifying my settings	https://ofbiz.apache.org/release-notes-16.11.01.html
OFBIZ-6807	[UtilXml.LocalResolver.resolveEntity] could not find LOCAL DTD/Schema with publicId [null] and the file/resource is [	1. Crash	http://ofbiz.135035.n4.nabble.com/could-not-find-LOCAL-DTD-Schema-with-publicId-null-and-the-file-resource-is-simple-methods-xsd-td163234.html	none	"As it was annoying, waiting for a definitive and complete solution, as a temporary fix I keept only <<web-app version=""3.0"">> in web.xml files instead of whole xmlns and schemaLocation. Done at
trunk r1726388
R15.12 r1726389"	2.1 Flawed repairs	"as a temporary fix I keept only <<web-app version=""3.0"">> in web.xml files instead of whole xmlns and schemaLocation. Done at
trunk r1726388
R15.12 r1726389"	2.2 Modifying my settings	
ODFTOOLKIT-375	running the first line jumps to the finally block directly without giving any kind of error	1. Crash	none	none	"the program works correctly with version odftoolkit-0.5 but not with odftoolkit-0.6 version

Try a new version as 0.6.1 "	1.2 Fixed by newer versions	Try a new version as 0.6.1 	3.3 Switching to newer versions	
ODE-1073	org.apache.openjpa.persistence.PersistenceException	1. Crash	http://openjpa.apache.org/builds/1.2.1/apache-openjpa-1.2.1/docs/javadoc/org/apache/openjpa/persistence/PersistenceException.html	none	"Workaround: Disable Streaming Resultsets for Mysql.

Add this property in ode-axis2.properties file

openjpa.FetchBatchSize=-1"	2.7 Problems in settings	"Workaround: Disable Streaming Resultsets for Mysql.

Add this property in ode-axis2.properties file

openjpa.FetchBatchSize=-1"	2.2 Modifying my settings	
OAK-7779	java.lang.RuntimeException: org.apache.jackrabbit.oak.api.CommitFailedException: OakNamespace0005: Namespace modification not allowed: rep:nsdata	1. Crash	none	none	"OAK-7786 fixed the original issue described here

Solved with OAK-7786"	1.1 Fixed by related issues	Solved with OAK-7786	1.1 Fixed problems	
NIFIREG-142	"First start problem: Error creating bean with name 'flywayInitializer'

java.lang.RuntimeException: org.springframework.beans.factory.BeanCreationException"	1. Crash	none	none	"currently there is a requirement that NiFi Registry be run with a JDK and not a JRE, this error happens when it is started with a JRE and Flyway (database migration tool) attempts to use something from the JDK."	3.1 Problems in my libraries	hopefully work since you have the JDK now.	3.1 Switching to other libraries	https://nifi.apache.org/docs/nifi-registry-docs/html/administration-guide.html
NETBEANS-2840	We have a builds failing	3. Build and testing error	NETBEANS-2345	resolved	"As the site is currently down, we're not able to build out our dependencies."	4.3 Problems in languages	 we've found an alternative repo to resolve our dependencies at https://repo.spring.io/plugins-release. 	2.2 Modifying my settings	
NETBEANS-2733	"type psvm + TAB

This should provide a System.out.println(..) but just provides the text psvm + the TAB"	2. Unexpected behavior	none	none	"Observe: This seems to be a problem for ALL the templates defined in 

Tools --> Options --> Code Templates"	2.7 Problems in settings	Deleting the Cache and User Directory solved the problem	4.2 Deleting temporal files	"https://netbeans.org/bugzilla/show_bug.cgi?id=267606

http://wiki.netbeans.org/FaqWhatIsUserdir"
NEMO-416	we have the below ClassCastException	1. Crash	https://github.com/apache/incubator-nemo/pull/237	no merge	"There are two guava dependencies of Nemo

Root culprits relates to guava deserialization internals"	3.1 Problems in my libraries	Work around the problem by	3.7 Bypassing APIs with bugs	
MYFACES-3104	java.lang.VerifyError	1. Crash	none	none	"Sample JSF 2 application that we try to run on Websphere 7.0 with :
MyFaces 2.0.4

Definitively it is a bug in websphere 7.

The MyFaces commiters mentioned that it's more a WebSphere bug."	3.2 Problems in my clients	"You can use org.springframework.web.jsf.el.SpringBeanFacesELResolver as replacement.

Not using org.springframework.web.jsf.el.SpringBeanFacesELResolver was the issue. We were incorrectly using the deprecated org.springframework.web.jsf.DelegatingVariableResolver.

To sum things up, here are snippets of the web.xml and faces-config.xml that were used to get this working...
web.xml:"	"3.4 Modifying the settings of libraries
3.9 Modifying API calls"	
MYFACES-2869	Ajaxified h:selectBooleanCheckbox not working in IE8	2. Unexpected behavior	none	none	"This works fine with FF, Safari and Chrome but not with IE8. The resaon for this is that the default onchange event is not working correctly in IE8."	4.4 Incorrect techniques	"A workaround for this is to set the event to click manually

IE8 requires event=click and the functionality is fine with event=click."	3.9 Modifying API calls	
MRM-1881	Release 2.2.0 does not work with PostgreSQL	1. Crash	none	none	"Release 2.2.0 does not work with PostgreSQL

There a few things that need to be addressed:
Include PostgreSQL ODBC driver in the build

it seems that the problem is related to the defaultTransactionIsolaction which was missing from the config"	"3.1 Problems in my libraries
2.7 Problems in settings"	"So I managed to solve the database configuration by adding:

<Set name=""defaultTransactionIsolation"">8</Set>

Also we would need to include postgresql drivers inside the distro."	"3.4 Modifying the settings of libraries
"	
MRM-1845	Virtual repository not accessible behind https reverse proxy	2. Unexpected behavior	none	none	This header is filled by reverse proxy.	4.1 Problems in operating systems	"Workaround : If an Apache is in front of Archiva, you could cancel this problem with this configuration rule in VirtualHost context (prerequisite : headers_module):

RequestHeader unset Authorization"	4.1 Modifying operating systems	https://archiva.apache.org/docs/2.2.3/release-notes.html
MNG-6417	unable to print any colored text	2. Unexpected behavior	none	none	The source of this trouble is jansi library	3.1 Problems in my libraries	"In jansi website it clearly say that we can pass jansi.passthrough=true to force jansi to print out colored text. I also tried to set the MAVEN_OPTS variable but no help. When i print out the value in jansi code (jansi/jansi/src/main/java/org/fusesource/jansi/AnsiConsole.java), i got a false. I i hard-coded it and force it to get into the jansi.passthrough if-loop. Then i recompile my new maven with my modified jansi library. Finally everything works."	"3.8 Deep copying
2.3 Modifying build files or options
"	
MESOS-7216	"all of the ASSERTS in the test itself pass, but the test failed because there were remaining processes once the test exited "	2. Unexpected behavior	none	none	"I worked around this by setting the executor shutdown grace period to 10secs, a better solution would be to make the I/O Switchboard optional."	2.1 Flawed repairs	I worked around this by setting the executor shutdown grace period to 10secs	2.2 Modifying my settings	
MESOS-6577	"Failed to launch container: Failed to run 'docker -H unix:///var/run/docker.sock inspect mesos-84a9df2b-be0e-459e-afc9-b95d4e8ced57-S0.0116a0a2-ccaf-4f1a-846c-361ec4e4a179': exited with status 1; stderr='Error: No such image, container or task"	1. Crash	none	none	"In your case, (1) is in process, but (2) immediately errors. This means that the docker daemon is not processing the docker run until after the docker inspect has finished. "	2.7 Problems in settings	switching from -executor_registration_timeout=2mins to -executor_registration_timeout=5mins	2.2 Modifying my settings	
MESOS-5672	When building EGG/WHL(s) setuptools will enforce PEP 440 standards which will normalize '1.0.0-rc0' to '1.0.0rc0'	2. Unexpected behavior	none	none	This will be an internal versioning/tagging/labeling issue we'll have to work-around	4.2 Problems in languages	This will be an internal versioning/tagging/labeling issue we'll have to work-around	3.10 Modifying input values	
MESOS-5624	will fail to compile with the following error:	3. Build and testing error	none	none	I/mnt/mesos/mesos/src/src looks odd. Seems like some include paths could be wrongly generated.	2.7 Problems in settings	"Workaround, by out-of-place building:
https://reviews.apache.org/r/48795/"	2.3 Modifying build files or options	
MESOS-5441	Test fixtures inheriting from mesos::internal::tests::ContainerizerTest fail if sudo ./bin/mesos-tests.sh is run.  Here's an example from our internal CI	3. Build and testing error	none	none	"It seems that lxcfs of Ubuntu 16.04 might be causing this

seems that lxcfs also mounts a cgroup hierarchy."	4.1 Problems in operating systems	Disabling the service (systemctl disable lxcfs) resolved this.	4.1 Modifying operating systems	
MESOS-4827	"when we destroy/re-deploy a docker-containerized task, the mesos-slave got killed from time to time. "	1. Crash	https://stackoverflow.com/questions/35713985/destroy-docker-container-from-marathon-kills-mesos-slave	none	"3- Mesos slave is restarted (by systemd), and is trying to reregister in the mesos cluster. It does not detect any checkpointed resources in /tmp/mesos/meta/resources/resources.info, and fails to find the latest slave from '/tmp/mesos/meta'.

3 is what is causing the wide-spread task failure.

it is indeed not configured, so default value is /tmp/mesos. Will change it asap.

we don't see that again after work_dir has been changed."	2.7 Problems in settings	Resolving since we don't see that again after work_dir has been changed.	2.2 Modifying my settings	
MDEPLOY-221	deploy generates wrong timestamps in maven-metadata.xml	2. Unexpected behavior	none	none	"This is indeed a Maven Core 3.5.0 issue

This is fixed in Maven 3.5.1"	1.2 Fixed by newer versions	"I don't see another way to work-around this at the plugin level for 3.5.0, update of Maven is necessary."	3.3 Switching to newer versions	
MCOMPILER-277	Compilation error while compiling for 1.6 using JDK 1.8	3. Build and testing error	none	none	This is not a feature of the plugin	4.4 Incorrect techniques	If you need to support different JDK's there is not really an other way to support that via installing the needed JDK's. Using toolchains is the correct way to handle this in Maven.	4.3 Switching to other techniques	https://maven.apache.org/plugins/maven-compiler-plugin/examples/compile-using-different-jdk.html
MASSEMBLY-828	"art of the assembly is to copy xml files from the project to the output directory. In versions after 2.1, maven-assmbly-plugin is dropping some attributes that are defined in the xml as it copies it to the output directory. "	2. Unexpected behavior	none	none	"In version 2.1 of the assembly plugin it did this. In versions above that, the affect of copying the second fileset does not "	2.4 Recurring problems	I was able to resolve this by using the <excludes> option for the file set in the assembly descriptor.	3.11 Modifying input format	
MADLIB-889	could not write to temporary file: No space left on device	2. Unexpected behavior	none	none	association rules limitiaon	2.7 Problems in settings	this is addressed with max_itemset_size param	2.2 Modifying my settings	https://madlib.apache.org/docs/latest/group__grp__assoc__rules.html
LUCENE-7248	Interrupting IndexWriter causing unhandled ClosedChannelException	1. Crash	none	none	The problem is not in Lucene it is in the software that sends interrupts to threads by Lucene. 	3.2 Problems in my clients	"If you cannot fix this, your only chance is to use RAFDirectory, but this slows down reading from index.

Using RAFDirectory did not solve the problem."	1.2 Unfixed problems	
LOG4J2-2281	It even crashes the server sometimes	1. Crash	none	none	"Ok this seems to be a bug in WebSphere's annotation scan algorithm.
com.ibm.ws.ecs.internal.scan.context.impl.ScannerContextImpl
scanJAR unable to open input stream for resource
META-INF/versions/9/org/apache/logging/log4j/util/ProcessIdUtil.
class in archive WEB-INF/lib/log4j-api-2.9.1.jar"	3.2 Problems in my clients	The issue has been fixed in WebSphere 8.5.5.14 or 9.0.0.7	1.1 Fixed problems	
LIVY-49	The Spark session could not be created in the cluster:	1. Crash	none	none	this turns out to be a Spark bug	3.1 Problems in my libraries	Filed SPARK-13478 for the Spark fix. 	1.1 Fixed problems	
LENS-1009	After some time the logs get cluttered since purge failure logs are everywhere.	7. Warning-style error	none	none	"Solution is to change the type of query column to text in underling DB

If a query is larger than that, while purging it throws an exception regarding data truncation. After that, there are retries for purging and it keeps on retrying. "	2.1 Flawed repairs	Solution is to change the type of query column to text in underling DB	3.4 Modifying the settings of libraries	
KYLIN-4123	ClassCastException when performing Integration Tests	1. Crash	KYLIN-4040	CLOSED	"Hortonworks HDP 3.0.1.0-187

you may try to use HDP 2.4.0.0-169"	"3.1 Problems in my libraries
2.4 Recurring problems"	you may try to use HDP 2.4.0.0-169	3.2 Switching to older versions	http://kylin.apache.org/development/dev_env.html
KYLIN-4082	Throw class not found exception when start kylin	1. Crash	none	none	pache-kylin-2.6.3-bin-cdh60.tar.gz and cdh6.2 both don't contain the jar file.	4.3 Problems in languages	When download commons-configuration-1.6.jar from the internet and put it into $KYLIN_HOME/lib£¬kylin finally starts successfully	2.3 Modifying build files or options	
KYLIN-3751	It is a NullPointerException in VolcanoPlanner	1. Crash	none	none	you can upgrade your kylin to v2.5.2 directly.	1.2 Fixed by newer versions	you can upgrade your kylin to v2.5.2 directly.	3.3 Switching to newer versions	http://kylin.apache.org/docs/release_notes.html
KYLIN-2587	"""Convert Cuboid Data to HFile"" failed on EMR 5.5"	1. Crash	none	none	but the reducer couldn't get zookeeper's info	3.1 Problems in my libraries	"I bypassed this error by copy ""hbase.zookeeper.quorum"" from hbase-site.xml to $KYLIN_HOME/conf/kylin_job_conf.xml:

<property>
<name>hbase.zookeeper.quorum</name>
<value>ip-nn-nn-nn-nn.ap-northeast-2.compute.internal</value>
</property>"	2.2 Modifying my settings	http://kylin.apache.org/docs/install/kylin_aws_emr.html
KYLIN-2326	ERROR: ArrayIndexOutOfBoundsException: -1	1. Crash	KYLIN-1971	CLOSED	The problem is when you have same name column in Dim and Fact Table	2.7 Problems in settings	Will be solved in Kylin 2.0.0	3.3 Switching to newer versions	
KYLIN-2020	Failed to build sample cube on a EMR 5.0 client node	3. Build and testing error	none	none	"But in some Hadoop distribution (like EMR 5.0), the hbase shell doesn¡¯t keep the origin HBASE_CLASSPATH value, that causes the ¡°NoClassDefFoundError¡±."	3.1 Problems in my libraries	"To fix this, find the hbase shell script (in hbase/bin or hbase/conf folder), and search HBASE_CLASSPATH, check whether it overwrite the value like :"	3.4 Modifying the settings of libraries	https://kylin.apache.org/docs15/gettingstarted/faq.html
KYLIN-1842	java.lang.NoClassDefFoundError: org/apache/hive/hcatalog/mapreduce/HCatInputFormat	1. Crash	none	none	"But in some Hadoop distribution (like EMR 5.0), the hbase shell doesn¡¯t keep the origin HBASE_CLASSPATH value, that causes the ¡°NoClassDefFoundError¡±."	3.1 Problems in my libraries	"To fix this, find the hbase shell script (in hbase/bin or hbase/conf folder), and search HBASE_CLASSPATH, check whether it overwrite the value like :"	3.4 Modifying the settings of libraries	https://kylin.apache.org/docs15/gettingstarted/faq.html
KYLIN-1089	Kylin failed to run on CDH with HBase 1.0	1. Crash	none	none	"The root cause is, CDH reverts several Apache HBase 1.0 commits, for backward compatibility; While Kylin 1.x-HBase1.x is compiled with Apache HBase 1.1 API, which is not compitible with CDH"	3.1 Problems in my libraries	Branch for CDH 5.7	3.3 Switching to newer versions	
KUDU-402	I've seen a couple cases on Jenkins where linked_list-test hangs	"4. Hang

"	none	none	"Thankfully, the bug is fixed upstream in clang, and will be in the 3.5 release. "	"3.1 Problems in my libraries
1.2 Fixed by newer versions"	"Thankfully, the bug is fixed upstream in clang, and will be in the 3.5 release. It also seems to be pretty rare, so we'll ignore it for now."	3.3 Switching to newer versions	
KUDU-282	Test when errors occur on the Apply() phase of transactions	1. Crash	none	none	"we ended up making IO errors fatal, so I don't think there are any errors that could happen on Apply anymore."	2.7 Problems in settings	"we ended up making IO errors fatal, so I don't think there are any errors that could happen on Apply anymore."	2.2 Modifying my settings	
KUDU-1419	Kudu may fail to start in docker when using Ubuntu/AUFS	1. Crash	none	none	"By default Ubuntu's docker setup uses AUFS for its storage layer. That leads to problems during startup because rename() may not work in AUFS.

The problem is that we rely on this atomic directory rename for durability"	4.1 Problems in operating systems	"based on a conversation on Slack, Dan and Todd suggested we should just work around this by requiring Docker users to mount an external volume for their Kudu data. 

Resolved as ""workaround"" since people can use a volume or another filesystem."	4.1 Modifying operating systems	
KAFKA-5861	application is hanging in some streaming chaos.	"4. Hang

"	none	none	From this stack I saw that indeed System.exit() blocks complete process.	3.2 Problems in my clients	"From this stack I saw that indeed System.exit() blocks complete process.
So finally I modify my shutdown hook handler to such a code"	3.9 Modifying API calls	
KAFKA-4149	 in the Jenkins jobs for trunk (jdk7 and jdk8) and PRs.	3. Build and testing error	none	none	The root cause must have been a failure in building the right class path when running the tests.	2.7 Problems in settings	The problem seems to go away if the `jarAll` task before `testAll` is removed	2.3 Modifying build files or options	
JEXL-259	the following scripts are terminated with error unsolvable property 'c'	1. Crash	none	none	"This is the intended behavior;

As is, this issue is not a bug; as an improvement, it might be possible to detect/flag 'pure' antish references and set/get them through overridable method."	2.2 Incompatible issues	"I ditched the ant-ish variables and have managed to write cascade resolver that resolves one part after another. That was not a generic solution for all cases, but was just enough for my use-case."	4.3 Switching to other techniques	
JENA-1207	A TDBException is thrown.	1. Crash	none	none	"Use
RDFDatatype datatype = XSDDatatype.XSDdecimal ;
rather than new XSDDatatype(""decimal"");."	3.2 Problems in my clients	"Use
RDFDatatype datatype = XSDDatatype.XSDdecimal ;
rather than new XSDDatatype(""decimal"");."	3.9 Modifying API calls	
JCLOUDS-487	NodeMetadata.getPrivateAddresses() returns a list of addresses in random order. These should be returned in a particular order (as listed by the service)	2. Unexpected behavior	none	none	here is some neutron code that can accomplish figuring out what IPs belong to what network ids:	3.2 Problems in my clients	"Alright, here is some neutron code that can accomplish figuring out what IPs belong to what network ids:"	3.9 Modifying API calls	
JCLOUDS-1326	Peak memory used before it crashes is ~15GB.	1. Crash	none	none	It appears that jclouds is logging the entire payload ¨C how have you configured logging?	2.7 Problems in settings	"As per this example I tried, yes, it is the wire logs causing issue. Switching off wire logs helped to get past OOM issue. "	2.2 Modifying my settings	
JCLOUDS-1293	java.util.concurrent.ExecutionException: org.jclouds.http.HttpResponseException: Unexpected end of file	1. Crash	none	none	"The PR with the fix to mitigate the issue is now merged. The cause of the failure, an interruption to the connection at the underlying http/network level, does not seem caused or related to jclouds, and the most we can do is our best to retry when that happens. "	4.5 Problems in the network	"Another workaround that would be safer is to create a custom retry handler 

The PR with the fix to mitigate the issue is now merged. The cause of the failure, an interruption to the connection at the underlying http/network level, does not seem caused or related to jclouds, and the most we can do is our best to retry when that happens. 

https://github.com/apache/jclouds/commit/5113be22d888ba2bd403ef7549ea692163f5ff10"	2.4 Repairing as technical debts	
JCLOUDS-1169	Basically the code crashes	1. Crash	none	none	"we upraded Gson to 2.7 in the latest snapshot, but that breaks OSGi, as some internal packages of Gson that jclouds uses are no longer exported. 

yes
I am using the version 2.6.2."	"3.1 Problems in my libraries
2.4 Recurring problems"	"Upgrade to Gson 2.5 instead of Gson 2.7

Changed the GSON version of my app to match the one with jclouds.
It is working for now."	3.2 Switching to older versions	
ISIS-1963	java.lang.IllegalArgumentException	1. Crash	none	none	Possibly related to the latest Isis upgrade using Wicket 8 instead of 7.9.	3.1 Problems in my libraries	So a quickfix on our side could be to simply catch these IllegalArgumentExceptions and ignore them.	"3.7 Bypassing APIs with bugs
"	
INFRA-18150	our internal (to Adobe) Jenkins infrastructure consistently fails to checkout from svn since March 24th	3. Build and testing error	none	none	the IP was banned for abuse on repository.apache.org 10 days ago.	4.3 Problems in languages	that temporary solution (unblock the IP but keep it banned for repository.apache.org) looks very good to me. 	2.2 Modifying my settings	
INFRA-16907	"When trying to add a ""Slaves"" axis, the Jenkins web UI throws JavaScript errors in both Chrome and Firefox browsers. "	3. Build and testing error	none	none	"This is a bug in the Jenkins software itself, nothing Infra can do here other wait for a future release to fix it."	3.2 Problems in my clients	"Workaround is to ignore 'Slave' axis and use a 'Label Expression' axis instead , see this jobs config for details."	2.2 Modifying my settings	
INFRA-15981	gitbox does not handle 404s well	3. Build and testing error	none	none	"It's a bug in gitweb

This will eventually have to make it to upstream for this to stick."	3.1 Problems in my libraries	I've implemented a workaround to stop the double blurb. This will eventually have to make it to upstream for this to stick. 	3.8 Deep copying	
INFRA-15934	Latest commits are not showing up on project website	3. Build and testing error	none	none	unknown	4.3 Problems in languages	"The gitwcsub daemon appears to have stopped.
I've bounced it and am monitoring if something bad happens in the business logic. "	1.1 Fixed problems	
INFRA-15687	Unable to submit	3. Build and testing error	none	none	"This is a known bug with certain extensions, specifically the Lastpass extension. "	4.4 Incorrect techniques	"Environment:Firefox 57.0.1 on Ubuntu 16.04. Same thing with Chrome.

Can workaround by disabling Lastpass. "	4.3 Switching to other techniques	
INFRA-15128	"Travis tries to build (fails) on invalid branch ""0.7.0"" which no longer exists"	3. Build and testing error	none	none	"Hello Chris,

Unfortunately, we cannot delete or hide branches at this time. It's in our backlog to give the ability to hide them in the future but we do not have an ETA on when this would be possible. Sorry again for the inconvenience."	2.2 Incompatible issues	" We decided to live with the invalid ""active branch"" in Travis¡­"	1.2 Unfixed problems	
INFRA-14971	Confluence has lost all code examples in Tapestry docs	3. Build and testing error	none	none	"I believe the source code examples are all now appearing correctly. However, this means our docs can't be edited with Confluence until this issue is resolved.

It's been 4 months and this is still a severe problem for us. The cwiki-test instance looked promising back in September. Is there a technical obstacle remaining, or is it just a matter of priorities and schedules?

I think I could have used the space export/import process to do the same, but maybe there would have been problems from that.
In any case, for Tapestry the issue is resolved and this ticket can be closed."	2.1 Flawed repairs	"I have completed the manual process of correcting all of the Tapestry pages in Confluence by copying their wiki content from the cwiki-test instance.

In any case, for Tapestry the issue is resolved and this ticket can be closed."	2.4 Repairing as technical debts	
INFRA-14922	All the messages in Sep 2002 for committers@ are duplicated.	3. Build and testing error	none	none	the ASF copy wasn't conforming to specs.	2.7 Problems in settings	"I'll have to defer to [~gstein] on this. I cannot share this information with you, let alone in a public JIRA ticket."	3.8 Deep copying	
INFRA-13203	The page https://www.apache.org/dev/writable-git still refers to writable git as an experiment	2. Unexpected behavior	none	none	The page https://www.apache.org/dev/writable-git still refers to writable git as an experiment	3.3 Incorrect inputs	I have resolved this by updating the text on that page.	2.1 Modifying documents	
INFRA-13145	We have a PMC member (skolbachev) who unsuccessfully tried to subscribe to the private Cayenne list for some time.	2. Unexpected behavior	none	none	"As for the root cause, i suspect your MAIL FROM: envelope header in SMTP might differ from what you are subscribed with as a moderator on the list"	3.3 Incorrect inputs	"I've subbed skolbachev to the list now, so this ticket could be closed."	1.1 Fixed problems	
INFRA-12664	"so the site plugin can perform a svn commit as part of the build

"	3. Build and testing error	none	none	"there is no ""role account"" available for checking into SVN. However, according to INFRA-12231, there is such an account for Git."	4.4 Incorrect techniques	Of course switching the site to git would be great 	4.3 Switching to other techniques	
INFRA-12589	their attempt to email java-user-owner@lucene resulted in Apache's qmail-send bouncing their email 	2. Unexpected behavior	none	none	"when ezmlm tried forwarding the email to my (gmail powered) email address google's SMTP server rejected it due to the DMARC policy of the original senders domain.

we'll update our setup with DKIM/DMARC"	2.7 Problems in settings	we'll update our setup with DKIM/DMARC	2.2 Modifying my settings	
INFRA-12559	Intermittent DNS errors on whimsy3	7. Warning-style error	none	none	"I confirm the issue on whimsy-vm3

This is a problem on the remote end. "	4.1 Problems in operating systems	This is a problem on the remote end. The mirror requestor has changed their hostname to resolve an unknown issue on their end.	4.1 Modifying operating systems	
INFRA-11589	"the link does not work; it shows just:

""No such document html"""	2. Unexpected behavior	none	none	"paste.a.o web files appear to be corrupt

""No such document html"""	4.3 Problems in languages	"I've removed references to the about page for now, as we don't have such a page."	2.1 Modifying documents	
IMPALA-6218	Crash due to memory allocation failure on secure cluster	1. Crash	none	none	this was actually due to the setting of /proc/sys/vm/overcommit_memory	4.1 Problems in operating systems	Correctly setting overcommit_memory=1 makes this issue go away.	4.1 Modifying operating systems	https://impala.apache.org/docs/build/impala-2.12.pdf
IMPALA-4843	Full outer join behaves like left outer join	2. Unexpected behavior	none	none	"The problem reproduce scenario is this;
1- The left table is a very large table, right table is a relatively small table"	2.5 Borderline cases	"There's a good chance the bug has been fixed in a more recent version.

This is very likely fixed in a more recent version. "	3.3 Switching to newer versions	
IMPALA-3341	Python environment error breaks ASAN build	3. Build and testing error	none	none	"the problem is the run is trying to use py test installed on the system instead of py test from the virtualenv. 

I've seen things like this happen when we make changes to our python virtual env. If there is still ""stuff"" left in the same directory from an older run of the same job, then python sometimes gets confused."	4.2 Problems in languages	"Wiping the workspace usually solves these kinds of problems. I'll wipe the workspace and restart the job.

What seems to work is to do a ""clean"" build. I checked the ""clean"" checkbox for this job and it passed."	4.2 Deleting temporal files	
IMPALA-3248	Many packaging builds failed	3. Build and testing error	none	none	"The system packaging tools died complaining that ""../../../toolchain/kudu-0.7.0/lib64/libkudu_client.so.0.1.0"" was not a valid library."	3.1 Problems in my libraries	"Moving the toolchain out of the source tree fixes the problem.

When the toolchain is in the source tree, the build command includes the lib with a relative path

 g++ <more stuff> ../../../toolchain/kudu-0.7.0/lib64/libkudu_client.so.0.1.0 <more stuff>"	2.3 Modifying build files or options	
IMPALA-2655	Catalog throws NPE	1. Crash	none	none	"This is a bug in the Java krb5 library

Closing this as a workaround will be addressed by IMPALA-5129."	"3.1 Problems in my libraries
1.1 Fixed by related issues"	Closing this as a workaround will be addressed by IMPALA-5129.	1.1 Fixed problems	
IMPALA-2511	The following build started 4 days ago and is still not finished 4 days later	"4. Hang

"	none	none		2.3 Flaky problems	 why don't you just restart the job to see if the problem persists?	1.1 Fixed problems	
IGNITE-5505	AffinityKeyMapped annotation is ignored if class names are configured on BinaryConfiguration	2. Unexpected behavior	IGNITE-5795	resolved	I discussed this with Vladimir Ozerov again and confirmed we do not want to fix this since any fix would violate Ignite design ideology.	2.2 Incompatible issues 	"To work around the problem in addition to specifying affinity key field using @AffinityKeyMapped annotation also specify it in the cache key configuration like this:

<property name=""cacheConfiguration"">"	2.2 Modifying my settings	
IGNITE-11401	Current lambdas for feature extraction doesn't work in binary builds and fail with such errors:	1. Crash	none	none	The permanent solution will be provided by the linked ticket.	1.1 Fixed by related issues	Replace current lambdas with fixed API	3.9 Modifying API calls	
HIVEMALL-30	continuous-integration/travis-ci/pr throw OutOfMemoryError	1. Crash	none	none	root cause was due to Spark memory requirements.	3.2 Problems in my clients	All build Jobs will succeed if increase maximum Java heap size to 1536m	2.2 Modifying my settings	
HIVE-21367	Hive returns an incorrect result when using a simple select query	2. Unexpected behavior	none	none	Setting property hive.fetch.task.conversion= to none resolved the issue.	2.7 Problems in settings	Setting property hive.fetch.task.conversion= to none resolved the issue.	2.2 Modifying my settings	
HIVE-18849	Caused by: java.lang.NullPointerException	1. Crash	none	none	"
jdk 9 support is not there yet"	4.2 Problems in languages	"After adjusting a few details to complete switch to Java 9 had to modify parent pom.xml.

add dependency to javax.annotation-api
switch to javac compiler"	2.3 Modifying build files or options	
HDFS-9513	java.lang.ArrayIndexOutOfBoundsException	1. Crash	none	none	"We is upgraded our new HDFS cluster to 2.7.1,but we YARN cluster is 2.2.0

but HDFS support storage type feature from 2.3.0 HDFS-2832, older version not have storageId

Patch provided might work as workaround for older clients."	3.2 Problems in my clients	I have few comments about the patch.	3.6 Implementing wrappers	
HDFS-13139	 decommissioning fails with below given error:	2. Unexpected behavior	none	none	"Our default configuration to store data on datanode ""dfs.datanode.data.dir"" was pointing to a drive with lowest capacity (around 3 % of overall DN storage). This 3 % < 3.5 % had made HDFS capacity as 0%"	2.7 Problems in settings	"To fix the downscaling issue, either, we need to lower down non hdfs reserved capacity (lower than 3 %) or point our datanode to higher disk capacity (greater than 3.5 %)."	2.2 Modifying my settings	
HAWQ-1300	hawq cannot compile with Bison 3.x.	3. Build and testing error	none	none	"I use Bison 3.0.2. And looks actually like a bug in gram.c source for this
> Bison version.

This is not HAWQ bug, it is Bison 3.x bug."	3.1 Problems in my libraries	The workaround for HAWQ users is to un-install Bison 3.x and install version 2.7.	3.2 Switching to older versions	
HADOOP-14177	 not english characters will show incorrect and may fail the build.	3. Build and testing error	none	none	A locale isn't set in the Dockerfile	4.1 Problems in operating systems	"start-build-env.sh:
docker build t ""hadoop-build${user_id}"" - UserSpecificDocker
¡­
¡­
RUN locale-gen en_US.UTF-8
ENV LANG='en_US.UTF-8' LANGUAGE='en_US:en' LC_ALL='en_US.UTF-8'"	2.3 Modifying build files or options	
GROOVY-8041	The templating engine does not handle properly the binding parameters that contains dot ('.') character	2. Unexpected behavior	none	none	you will have to work with a patched groovy version and use a custom groovy version for your application. Because there is no chance of fixing this in a normal groovy release	2.2 Incompatible issues	you will have to work with a patched groovy version and use a custom groovy version for your application. Because there is no chance of fixing this in a normal groovy release	3.8 Deep copying	http://docs.groovy-lang.org/latest/html/gapi/groovy/util/ConfigSlurper.html
